Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207738,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Berglund Lake (49°35'50""N., 91°38'27""W.)","Lac Berglund (49° 35' 50""N., 91° 38' 27""O.)",01/01/2022,12/31/2022
125207738,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Berglund Lake (49°35'50""N., 91°38'27""W.)","Lac Berglund (49° 35' 50""N., 91° 38' 27""O.)",01/01/2022,12/31/2022
125207739,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Bill Lake (50°04'01""N., 93°58'07""W.)","Lac Bill (50° 04' 01""N., 93° 58' 07""O.)",01/01/2022,12/31/2022
125207739,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Bill Lake (50°04'01""N., 93°58'07""W.)","Lac Bill (50° 04' 01""N., 93° 58' 07""O.)",01/01/2022,12/31/2022
125207740,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Butler Lake (49°29'10""N., 91°50'13""W.) - Bradshaw Township","Lac Butler (49° 29' 10""N., 91° 50' 13""O.) - canton de Bradshaw",01/01/2022,12/31/2022
125207740,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Butler Lake (49°29'10""N., 91°50'13""W.) - Bradshaw Township","Lac Butler (49° 29' 10""N., 91° 50' 13""O.) - canton de Bradshaw",01/01/2022,12/31/2022
125207741,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Dog Lake (50°00'51""N., 94°00'49""W.)","Lac Dog (50° 00' 51""N., 94° 00' 49""O.)",01/01/2022,12/31/2022
125207741,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Dog Lake (50°00'51""N., 94°00'49""W.)","Lac Dog (50° 00' 51""N., 94° 00' 49""O.)",01/01/2022,12/31/2022
125207742,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Highway Lake (50°04'16""N., 92°01'30""W.) - Drayton Township","Lac Highway (50° 04' 16""N., 92° 01' 30""O.) - canton de Drayton",01/01/2022,12/31/2022
125207742,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Highway Lake (50°04'16""N., 92°01'30""W.) - Drayton Township","Lac Highway (50° 04' 16""N., 92° 01' 30""O.) - canton de Drayton",01/01/2022,12/31/2022
