Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5241-51939,Southeast Bay,baie Southeast,,46.9029,-80.68204,01/01/2022,12/31/2022
125209687,17-5241-51976,Musko Bay,baie Musko,,46.92702,-80.67502,01/01/2022,12/31/2022
125209687,17-5241-52013,Davis Lake,lac Davis,,46.96161,-80.67645,01/01/2022,12/31/2022
125209687,17-5238-52717,Bruce Lake,lac Bruce,,47.6048783,-80.6920582,01/01/2022,12/31/2022
125209687,17-5242-51846,Little Otter Lake,petit lac Otter,,46.82088,-80.67966,01/01/2022,12/31/2022
125209687,17-5238-52016,Rat Lake,lac Rat,,46.96979,-80.68646,01/01/2022,12/31/2022
125209687,17-5249-51849,Stobie Creek,ruisseau Stobie,,46.986184,-80.7405894,01/01/2022,12/31/2022
125209687,17-5250-52037,White Rock Lake,lac White Rock,,46.9891031,-80.6707197,01/01/2022,12/31/2022
125209687,17-5251-51832,Bottom Lake,lac Bottom,,46.80422,-80.67063,01/01/2022,12/31/2022
125209687,17-5251-52090,Elbow Lake,lac Elbow,,47.03562,-80.66924,01/01/2022,12/31/2022
125209687,17-5253-52060,Dougherty Lake,lac Dougherty,,47.00951,-80.66674,01/01/2022,12/31/2022
125209687,17-5253-52632,Sandplains Lake,lac Sandplains,,47.5233083,-80.6642896,01/01/2022,12/31/2022
125209687,17-5254-51809,Rathbun Lake,lac Rathbun,,46.7765576,-80.6628582,01/01/2022,12/31/2022
125209687,17-5254-51828,Blackthorn Lake,lac Blackthorn,,46.7933163,-80.6699751,01/01/2022,12/31/2022
125209687,17-5254-51902,Dewdney Lake,lac Dewdney,,46.8782668,-80.6528617,01/01/2022,12/31/2022
125209687,17-5255-51643,Moose Rapids,rapides Moose,,46.6308,-80.66321,01/01/2022,12/31/2022
125209687,17-5242-51680,Little Bonanza Lake,petit lac Bonanza,,46.66119,-80.68878,01/01/2022,12/31/2022
125209687,17-5226-52569,Collins Lake,lac Collins,,47.4742202,-80.7014605,01/01/2022,12/31/2022
125209687,17-5163-52716,South Bay,baie South,,47.60466,-80.77949,01/01/2022,12/31/2022
125209687,17-5215-51676,Pond Lake,lac Pond,,46.66395,-80.71814,01/01/2022,12/31/2022
125209687,17-5216-51699,Redrock Ponds,étangs Redrock,,46.6863186,-80.72066,01/01/2022,12/31/2022
125209687,17-5216-51846,Bonhomme Lake,lac Bonhomme,,46.8177,-80.71223,01/01/2022,12/31/2022
125209687,17-5216-51920,Lawlor Lake,lac Lawlor,,46.8721486,-80.7426275,01/01/2022,12/31/2022
125209687,17-5216-51976,Telfer Bay,baie Telfer,,46.93709,-80.71352,01/01/2022,12/31/2022
125209687,17-5221-52550,Lady Dufferin Lake,lac Lady Dufferin,,47.4521272,-80.7057793,01/01/2022,12/31/2022
125209687,17-5222-52138,Little Marconi Lake,petit lac Marconi,,47.07923,-80.70758,01/01/2022,12/31/2022
125209687,17-5224-52025,Blackwater Lake,lac Blackwater,,46.9781013,-80.7034883,01/01/2022,12/31/2022
125209687,17-5239-52606,Durkee Lake,lac Durkee,,47.5006825,-80.6857743,01/01/2022,12/31/2022
125209687,17-5225-52755,Jacobs Lake,lac Jacobs,,47.6352574,-80.7011547,01/01/2022,12/31/2022
125209687,17-5213-52735,Wilson Lake,lac Wilson,,47.61865,-80.71557,01/01/2022,12/31/2022
125209687,17-5227-51848,Little Bonhomme Lake,petit lac Bonhomme,,46.817798,-80.7034931,01/01/2022,12/31/2022
125209687,17-5228-52091,Frederick Lake,lac Frederick,,47.0406183,-80.6987001,01/01/2022,12/31/2022
125209687,17-5228-52105,Stouffer Lake,lac Stouffer,,47.0679614,-80.6833157,01/01/2022,12/31/2022
125209687,17-5228-52161,Mudding Lake,lac Mudding,,47.09879,-80.69104,01/01/2022,12/31/2022
125209687,17-5229-51828,Bonhomme Creek,ruisseau Bonhomme,,46.7885581,-80.7048298,01/01/2022,12/31/2022
125209687,17-5229-51902,Caswell Lake,lac Caswell,,46.8624411,-80.7074146,01/01/2022,12/31/2022
125209687,17-5229-51920,Shed Lake,lac Shed,,46.88402,-80.695744,01/01/2022,12/31/2022
125209687,17-5229-51939,Southwest Bay,baie Southwest,,46.90632,-80.70653,01/01/2022,12/31/2022
125209687,17-5230-51679,Bonanza Lake,lac Bonanza,,46.66794,-80.70178,01/01/2022,12/31/2022
125209687,17-5235-52567,Kenneth Lake,lac Kenneth,,47.4653667,-80.6883408,01/01/2022,12/31/2022
125209687,17-5225-52754,Bilsky Lake,lac Bilsky,,47.6276279,-80.6998602,01/01/2022,12/31/2022
125209687,17-5132-51684,Blue Lake,lac Blue,,46.6782585,-80.8228542,01/01/2022,12/31/2022
125209687,17-5138-52698,Fryingpan Lake,lac Fryingpan,,47.5831467,-80.8215347,01/01/2022,12/31/2022
125209687,17-5126-52605,Thomson Lake,lac Thomson,,47.4961284,-80.8393648,01/01/2022,12/31/2022
125209687,17-5127-51698,Capre Lake,lac Capre,,46.69127,-80.83293,01/01/2022,12/31/2022
125209687,17-5127-51735,Horseshoe Lake,lac Horseshoe,,46.718682,-80.8283242,01/01/2022,12/31/2022
125209687,17-5127-51790,East Bass Lake,lac Bass Est,,46.7650853,-80.8390786,01/01/2022,12/31/2022
125209687,17-5127-51846,Mowat Creek,ruisseau Mowat,,46.8263768,-80.8305206,01/01/2022,12/31/2022
125209687,17-5128-52035,Den Lake,lac Den,,46.9897911,-80.8313142,01/01/2022,12/31/2022
125209687,17-5128-52127,Ray Lake,lac Ray,,47.0699943,-80.8295934,01/01/2022,12/31/2022
125209687,17-5128-52363,White Pine Lake,lac White Pine,,47.28201,-80.83063,01/01/2022,12/31/2022
125209687,17-5125-52773,McIntosh Creek,ruisseau McIntosh,,47.6555079,-80.8182589,01/01/2022,12/31/2022
125209687,17-5129-51904,Tower Lake,lac Tower,,46.86895,-80.83036,01/01/2022,12/31/2022
125209687,17-5125-52772,Myrtle Lake,lac Myrtle,,47.6509531,-80.8239655,01/01/2022,12/31/2022
125209687,17-5132-52738,Boyd Lake,lac Boyd,,47.61952,-80.82424,01/01/2022,12/31/2022
125209687,17-5132-52746,Milner Lake,lac Milner,,47.62701,-80.82396,01/01/2022,12/31/2022
125209687,17-5133-51848,Peterson Lake,lac Peterson,,46.81894,-80.82564,01/01/2022,12/31/2022
125209687,17-5134-51724,Windy Lake,lac Windy,,46.70672,-80.82425,01/01/2022,12/31/2022
125209687,17-5134-52341,Stull Lake,lac Stull,,47.2633962,-80.8190362,01/01/2022,12/31/2022
