Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035425,46.4905298,-80.1598951,01/01/2022,12/31/2022
107035426,45.1157099,-77.3814405,01/01/2022,12/31/2022
107035427,45.123474,-78.4630449,01/01/2022,12/31/2022
107035428,45.0246066,-77.8581032,01/01/2022,12/31/2022
107035429,49.2826639,-92.2527031,01/01/2022,12/31/2022
107035430,45.1984897,-78.938697,01/01/2022,12/31/2022
107035431,45.189308,-78.9490565,01/01/2022,12/31/2022
107035432,45.2928162,-77.7394223,01/01/2022,12/31/2022
107035433,45.0421904,-79.0183658,01/01/2022,12/31/2022
107035434,45.1822274,-78.7145901,01/01/2022,12/31/2022
107035435,47.0407492,-80.2965672,01/01/2022,12/31/2022
107035436,49.2284614,-87.9327193,01/01/2022,12/31/2022
107035437,46.8421797,-80.3163443,01/01/2022,12/31/2022
107035438,44.7897145,-78.7096016,01/01/2022,12/31/2022
107035439,45.110503,-78.3742123,01/01/2022,12/31/2022
107035440,46.4781811,-80.0782486,01/01/2022,12/31/2022
107035441,46.9249757,-80.2543029,01/01/2022,12/31/2022
107035442,45.1025677,-80.079562,01/01/2022,12/31/2022
107035443,48.3430961,-90.8707831,01/01/2022,12/31/2022
107035444,46.9122791,-80.3231901,01/01/2022,12/31/2022
107035445,45.3497623,-78.9630874,01/01/2022,12/31/2022
107035446,45.1433674,-78.2007374,01/01/2022,12/31/2022
107035447,45.0972187,-77.329408,01/01/2022,12/31/2022
107035448,45.2550864,-78.6501686,01/01/2022,12/31/2022
107035449,46.9163789,-80.1902005,01/01/2022,12/31/2022
107035450,48.4859772,-90.6542757,01/01/2022,12/31/2022
107035451,44.9124759,-77.2976396,01/01/2022,12/31/2022
107035452,45.2517839,-78.6189687,01/01/2022,12/31/2022
107035453,45.339609,-78.6798111,01/01/2022,12/31/2022
107035454,44.9050797,-77.1682171,01/01/2022,12/31/2022
107035455,47.1241499,-80.8528071,01/01/2022,12/31/2022
107035456,45.1731848,-77.209037,01/01/2022,12/31/2022
107035457,50.9332088,-94.1711797,01/01/2022,12/31/2022
107035458,46.9827063,-80.2097148,01/01/2022,12/31/2022
107035459,46.5787739,-81.7456591,01/01/2022,12/31/2022
107035460,46.8513706,-80.2809173,01/01/2022,12/31/2022
107035461,45.144921,-78.8815903,01/01/2022,12/31/2022
107035462,45.0373541,-77.5877164,01/01/2022,12/31/2022
107035463,45.3340878,-78.8509333,01/01/2022,12/31/2022
107035464,46.8180889,-81.2366319,01/01/2022,12/31/2022
107035465,44.9117116,-77.9832501,01/01/2022,12/31/2022
107035466,46.4902056,-80.0452126,01/01/2022,12/31/2022
107035467,48.4428932,-90.7284908,01/01/2022,12/31/2022
107035468,45.2466516,-78.4092978,01/01/2022,12/31/2022
107035469,45.1792864,-78.4338123,01/01/2022,12/31/2022
107035470,50.0050802,-87.4470127,01/01/2022,12/31/2022
